Team,Conf,Season,Game,Home,Away,Points,Points Against,Date
Stanford,Pac-12,2016,Stanford vs Colorado,Stanford,Colorado,5,10,2016-10-22T19:00:00.000Z
Alabama,SEC,2016,Alabama vs Texas A&M,Alabama,Texas A&M,33,14,2016-10-22T19:30:00.000Z
UCLA,Pac-12,2016,UCLA vs Utah,UCLA,Utah,45,52,2016-10-22T20:00:00.000Z
Missouri,SEC,2016,Missouri vs Middle Tennessee,Missouri,Middle Tennessee,45,51,2016-10-22T20:00:00.000Z
Auburn,SEC,2016,Auburn vs Arkansas,Auburn,Arkansas,56,3,2016-10-22T22:00:00.000Z
Washington,Pac-12,2016,Washington vs Oregon State,Washington,Oregon State,41,17,2016-10-22T22:30:00.000Z
Vanderbilt,SEC,2016,Vanderbilt vs Tennessee State,Vanderbilt,Tennessee State,35,17,2016-10-22T23:30:00.000Z
Kentucky,SEC,2016,Kentucky vs Mississippi State,Kentucky,Mississippi State,40,38,2016-10-22T23:30:00.000Z
LSU,SEC,2016,LSU vs Ole Miss,LSU,Ole Miss,38,21,2016-10-23T01:00:00.000Z
Arizona State,Pac-12,2016,Arizona State vs Washington State,Arizona State,Washington State,32,37,2016-10-23T02:00:00.000Z
USC,Pac-12,2016,USC vs California,USC,California,45,24,2016-10-28T02:30:00.000Z
Missouri,SEC,2016,Missouri vs Kentucky,Missouri,Kentucky,21,35,2016-10-29T16:00:00.000Z
Mississippi State,SEC,2016,Mississippi State vs Samford,Mississippi State,Samford,56,41,2016-10-29T19:30:00.000Z
Utah,Pac-12,2016,Utah vs Washington,Utah,Washington,24,31,2016-10-29T19:30:00.000Z
Georgia,SEC,2016,Georgia vs Florida,Georgia,Florida,10,24,2016-10-29T19:30:00.000Z
Oregon,Pac-12,2016,Oregon vs Arizona State,Oregon,Arizona State,54,35,2016-10-29T21:00:00.000Z
South Carolina,SEC,2016,South Carolina vs Tennessee,South Carolina,Tennessee,24,21,2016-10-29T23:15:00.000Z
Ole Miss,SEC,2016,Ole Miss vs Auburn,Ole Miss,Auburn,29,40,2016-10-29T23:15:00.000Z
Texas A&M,SEC,2016,Texas A&M vs New Mexico State,Texas A&M,New Mexico State,52,10,2016-10-29T23:30:00.000Z
Oregon State,Pac-12,2016,Oregon State vs Washington State,Oregon State,Washington State,31,35,2016-10-30T02:45:00.000Z
Arizona,Pac-12,2016,Arizona vs Stanford,Arizona,Stanford,10,34,2016-10-30T03:00:00.000Z
Colorado,Pac-12,2016,Colorado vs UCLA,Colorado,UCLA,20,10,2016-11-04T01:00:00.000Z
Auburn,SEC,2016,Auburn vs Vanderbilt,Auburn,Vanderbilt,23,16,2016-11-05T16:00:00.000Z
Ole Miss,SEC,2016,Ole Miss vs Georgia Southern,Ole Miss,Georgia Southern,37,27,2016-11-05T16:00:00.000Z
Mississippi State,SEC,2016,Mississippi State vs Texas A&M,Mississippi State,Texas A&M,35,28,2016-11-05T16:00:00.000Z
Arkansas,SEC,2016,Arkansas vs Florida,Arkansas,Florida,31,10,2016-11-05T19:30:00.000Z
Stanford,Pac-12,2016,Stanford vs Oregon State,Stanford,Oregon State,26,15,2016-11-05T19:30:00.000Z
Tennessee,SEC,2016,Tennessee vs Tennessee Tech,Tennessee,Tennessee Tech,55,0,2016-11-05T20:00:00.000Z
South Carolina,SEC,2016,South Carolina vs Missouri,South Carolina,Missouri,31,21,2016-11-05T20:00:00.000Z
Washington State,Pac-12,2016,Washington State vs Arizona,Washington State,Arizona,69,7,2016-11-05T20:00:00.000Z
USC,Pac-12,2016,USC vs Oregon,USC,Oregon,45,20,2016-11-05T23:00:00.000Z
Kentucky,SEC,2016,Kentucky vs Georgia,Kentucky,Georgia,24,27,2016-11-05T23:30:00.000Z
LSU,SEC,2016,LSU vs Alabama,LSU,Alabama,0,10,2016-11-06T00:00:00.000Z
California,Pac-12,2016,California vs Washington,California,Washington,27,66,2016-11-06T02:30:00.000Z
Arizona State,Pac-12,2016,Arizona State vs Utah,Arizona State,Utah,26,49,2016-11-11T02:30:00.000Z
Florida,SEC,2016,Florida vs South Carolina,Florida,South Carolina,20,7,2016-11-12T17:00:00.000Z
Tennessee,SEC,2016,Tennessee vs Kentucky,Tennessee,Kentucky,49,36,2016-11-12T17:00:00.000Z
Alabama,SEC,2016,Alabama vs Mississippi State,Alabama,Mississippi State,51,3,2016-11-12T17:00:00.000Z
Missouri,SEC,2016,Missouri vs Vanderbilt,Missouri,Vanderbilt,26,17,2016-11-12T20:30:00.000Z
Georgia,SEC,2016,Georgia vs Auburn,Georgia,Auburn,13,7,2016-11-12T20:30:00.000Z
Oregon,Pac-12,2016,Oregon vs Stanford,Oregon,Stanford,27,52,2016-11-12T21:00:00.000Z
Arkansas,SEC,2016,Arkansas vs LSU,Arkansas,LSU,10,38,2016-11-13T00:00:00.000Z
Washington,Pac-12,2016,Washington vs USC,Washington,USC,13,26,2016-11-13T00:30:00.000Z
Texas A&M,SEC,2016,Texas A&M vs Ole Miss,Texas A&M,Ole Miss,28,29,2016-11-13T00:30:00.000Z
UCLA,Pac-12,2016,UCLA vs Oregon State,UCLA,Oregon State,38,24,2016-11-13T02:00:00.000Z
Arizona,Pac-12,2016,Arizona vs Colorado,Arizona,Colorado,24,49,2016-11-13T03:00:00.000Z
Washington State,Pac-12,2016,Washington State vs California,Washington State,California,56,21,2016-11-13T03:30:00.000Z
Texas A&M,SEC,2016,Texas A&M vs UTSA,Texas A&M,UTSA,23,10,2016-11-19T17:00:00.000Z
Georgia,SEC,2016,Georgia vs Louisiana,Georgia,Louisiana,35,21,2016-11-19T17:00:00.000Z
LSU,SEC,2016,LSU vs Florida,LSU,Florida,10,16,2016-11-19T18:00:00.000Z
Utah,Pac-12,2016,Utah vs Oregon,Utah,Oregon,28,30,2016-11-19T19:00:00.000Z
Colorado,Pac-12,2016,Colorado vs Washington State,Colorado,Washington State,38,24,2016-11-19T20:30:00.000Z
Tennessee,SEC,2016,Tennessee vs Missouri,Tennessee,Missouri,63,37,2016-11-19T20:30:00.000Z
South Carolina,SEC,2016,South Carolina vs Western Carolina,South Carolina,Western Carolina,44,31,2016-11-19T21:00:00.000Z
Kentucky,SEC,2016,Kentucky vs Austin Peay,Kentucky,Austin Peay,49,13,2016-11-19T21:30:00.000Z
California,Pac-12,2016,California vs Stanford,California,Stanford,31,45,2016-11-19T22:30:00.000Z
Mississippi State,SEC,2016,Mississippi State vs Arkansas,Mississippi State,Arkansas,42,58,2016-11-20T00:00:00.000Z
Alabama,SEC,2016,Alabama vs Chattanooga,Alabama,Chattanooga,31,3,2016-11-20T00:00:00.000Z
Auburn,SEC,2016,Auburn vs Alabama A&M,Auburn,Alabama A&M,55,0,2016-11-20T00:30:00.000Z
Washington,Pac-12,2016,Washington vs Arizona State,Washington,Arizona State,44,18,2016-11-20T00:30:00.000Z
Vanderbilt,SEC,2016,Vanderbilt vs Ole Miss,Vanderbilt,Ole Miss,38,17,2016-11-20T01:00:00.000Z
Oregon State,Pac-12,2016,Oregon State vs Arizona,Oregon State,Arizona,42,17,2016-11-20T03:30:00.000Z
UCLA,Pac-12,2016,UCLA vs USC,UCLA,USC,14,36,2016-11-20T03:30:00.000Z
Texas A&M,SEC,2016,Texas A&M vs LSU,Texas A&M,LSU,39,54,2016-11-25T00:30:00.000Z
Missouri,SEC,2016,Missouri vs Arkansas,Missouri,Arkansas,28,24,2016-11-25T19:30:00.000Z
Washington State,Pac-12,2016,Washington State vs Washington,Washington State,Washington,17,45,2016-11-25T20:30:00.000Z
Arizona,Pac-12,2016,Arizona vs Arizona State,Arizona,Arizona State,56,35,2016-11-26T02:30:00.000Z
Georgia,SEC,2016,Georgia vs Georgia Tech,Georgia,Georgia Tech,27,28,2016-11-26T17:00:00.000Z
Louisville,ACC,2016,Louisville vs Kentucky,Louisville,Kentucky,38,41,2016-11-26T17:00:00.000Z
Ole Miss,SEC,2016,Ole Miss vs Mississippi State,Ole Miss,Mississippi State,20,55,2016-11-26T20:30:00.000Z
USC,Pac-12,2016,USC vs Notre Dame,USC,Notre Dame,45,27,2016-11-26T20:30:00.000Z
Alabama,SEC,2016,Alabama vs Auburn,Alabama,Auburn,30,12,2016-11-26T20:30:00.000Z
Oregon State,Pac-12,2016,Oregon State vs Oregon,Oregon State,Oregon,34,24,2016-11-26T21:00:00.000Z
California,Pac-12,2016,California vs UCLA,California,UCLA,36,10,2016-11-27T00:00:00.000Z
Vanderbilt,SEC,2016,Vanderbilt vs Tennessee,Vanderbilt,Tennessee,45,34,2016-11-27T00:30:00.000Z
Colorado,Pac-12,2016,Colorado vs Utah,Colorado,Utah,27,22,2016-11-27T00:30:00.000Z
Clemson,ACC,2016,Clemson vs South Carolina,Clemson,South Carolina,56,7,2016-11-27T00:30:00.000Z
Florida State,ACC,2016,Florida State vs Florida,Florida State,Florida,31,13,2016-11-27T01:00:00.000Z
Stanford,Pac-12,2016,Stanford vs Rice,Stanford,Rice,41,17,2016-11-27T01:00:00.000Z
Washington,Pac-12,2016,Washington vs Colorado,Washington,Colorado,41,10,2016-12-03T02:00:00.000Z
Florida,SEC,2016,Florida vs Alabama,Florida,Alabama,16,54,2016-12-03T21:00:00.000Z
Colorado State,Mountain West,2017,Colorado State vs Oregon State,Colorado State,Oregon State,58,27,2017-08-26T18:30:00.000Z
Rice,Conference USA,2017,Rice vs Stanford,Rice,Stanford,7,62,2017-08-27T02:00:00.000Z
Utah,Pac-12,2017,Utah vs North Dakota,Utah,North Dakota,37,16,2017-08-31T23:30:00.000Z
Arkansas,SEC,2017,Arkansas vs Florida A&M,Arkansas,Florida A&M,49,7,2017-09-01T00:00:00.000Z
Arizona State,Pac-12,2017,Arizona State vs New Mexico State,Arizona State,New Mexico State,37,31,2017-09-01T02:30:00.000Z
Colorado,Pac-12,2017,Colorado vs Colorado State,Colorado,Colorado State,17,3,2017-09-02T00:00:00.000Z
Rutgers,Big Ten,2017,Rutgers vs Washington,Rutgers,Washington,14,30,2017-09-02T00:00:00.000Z
Missouri,SEC,2017,Missouri vs Missouri State,Missouri,Missouri State,72,43,2017-09-02T16:00:00.000Z
North Carolina,ACC,2017,North Carolina vs California,North Carolina,California,30,35,2017-09-02T16:20:00.000Z
Oregon State,Pac-12,2017,Oregon State vs Portland State,Oregon State,Portland State,35,32,2017-09-02T18:00:00.000Z
South Carolina,SEC,2017,South Carolina vs NC State,South Carolina,NC State,35,28,2017-09-02T19:00:00.000Z
Florida,SEC,2017,Florida vs Michigan,Florida,Michigan,17,33,2017-09-02T19:30:00.000Z
Mississippi State,SEC,2017,Mississippi State vs Charleston Southern,Mississippi State,Charleston Southern,49,0,2017-09-02T20:00:00.000Z
Southern Miss,Conference USA,2017,Southern Miss vs Kentucky,Southern Miss,Kentucky,17,24,2017-09-02T20:00:00.000Z
USC,Pac-12,2017,USC vs Western Michigan,USC,Western Michigan,49,31,2017-09-02T21:15:00.000Z
Georgia,SEC,2017,Georgia vs App State,Georgia,App State,31,10,2017-09-02T22:15:00.000Z
Auburn,SEC,2017,Auburn vs Georgia Southern,Auburn,Georgia Southern,41,7,2017-09-02T23:30:00.000Z
Ole Miss,SEC,2017,Ole Miss vs South Alabama,Ole Miss,South Alabama,47,27,2017-09-02T23:30:00.000Z
Alabama,SEC,2017,Alabama vs Florida State,Alabama,Florida State,24,7,2017-09-03T00:00:00.000Z
Middle Tennessee,Conference USA,2017,Middle Tennessee vs Vanderbilt,Middle Tennessee,Vanderbilt,6,28,2017-09-03T00:00:00.000Z
Oregon,Pac-12,2017,Oregon vs Southern Utah,Oregon,Southern Utah,77,21,2017-09-03T00:15:00.000Z
LSU,SEC,2017,LSU vs BYU,LSU,BYU,27,0,2017-09-03T01:30:00.000Z
Washington State,Pac-12,2017,Washington State vs Montana State,Washington State,Montana State,31,0,2017-09-03T02:30:00.000Z
Arizona,Pac-12,2017,Arizona vs Northern Arizona,Arizona,Northern Arizona,62,24,2017-09-03T03:00:00.000Z
UCLA,Pac-12,2017,UCLA vs Texas A&M,UCLA,Texas A&M,45,44,2017-09-03T23:30:00.000Z
Georgia Tech,ACC,2017,Georgia Tech vs Tennessee,Georgia Tech,Tennessee,41,42,2017-09-05T00:00:00.000Z
Kentucky,SEC,2017,Kentucky vs Eastern Kentucky,Kentucky,Eastern Kentucky,27,16,2017-09-09T16:00:00.000Z
Ole Miss,SEC,2017,Ole Miss vs UT Martin,Ole Miss,UT Martin,45,23,2017-09-09T16:00:00.000Z
Colorado,Pac-12,2017,Colorado vs Texas State,Colorado,Texas State,37,3,2017-09-09T18:00:00.000Z
Alabama,SEC,2017,Alabama vs Fresno State,Alabama,Fresno State,41,10,2017-09-09T19:30:00.000Z
Arkansas,SEC,2017,Arkansas vs TCU,Arkansas,TCU,7,28,2017-09-09T19:30:00.000Z
Vanderbilt,SEC,2017,Vanderbilt vs Alabama A&M,Vanderbilt,Alabama A&M,42,0,2017-09-09T20:00:00.000Z
Tennessee,SEC,2017,Tennessee vs Indiana State,Tennessee,Indiana State,42,7,2017-09-09T20:00:00.000Z
Oregon,Pac-12,2017,Oregon vs Nebraska,Oregon,Nebraska,42,35,2017-09-09T20:30:00.000Z
California,Pac-12,2017,California vs Weber State,California,Weber State,33,20,2017-09-09T21:00:00.000Z
UCLA,Pac-12,2017,UCLA vs Hawai'i,UCLA,Hawai'i,56,23,2017-09-09T21:00:00.000Z
Clemson,ACC,2017,Clemson vs Auburn,Clemson,Auburn,14,6,2017-09-09T23:00:00.000Z
Texas A&M,SEC,2017,Texas A&M vs Nicholls,Texas A&M,Nicholls,24,14,2017-09-09T23:00:00.000Z
Missouri,SEC,2017,Missouri vs South Carolina,Missouri,South Carolina,13,31,2017-09-09T23:00:00.000Z
Louisiana Tech,Conference USA,2017,Louisiana Tech vs Mississippi State,Louisiana Tech,Mississippi State,21,57,2017-09-09T23:30:00.000Z
Notre Dame,FBS Independents,2017,Notre Dame vs Georgia,Notre Dame,Georgia,19,20,2017-09-09T23:30:00.000Z
LSU,SEC,2017,LSU vs Chattanooga,LSU,Chattanooga,45,10,2017-09-09T23:30:00.000Z
Washington,Pac-12,2017,Washington vs Montana,Washington,Montana,63,7,2017-09-10T00:00:00.000Z
USC,Pac-12,2017,USC vs Stanford,USC,Stanford,42,24,2017-09-10T00:30:00.000Z
Oregon State,Pac-12,2017,Oregon State vs Minnesota,Oregon State,Minnesota,14,48,2017-09-10T02:00:00.000Z
BYU,FBS Independents,2017,BYU vs Utah,BYU,Utah,13,19,2017-09-10T02:15:00.000Z
Washington State,Pac-12,2017,Washington State vs Boise State,Washington State,Boise State,47,44,2017-09-10T02:30:00.000Z
Arizona,Pac-12,2017,Arizona vs Houston,Arizona,Houston,16,19,2017-09-10T02:30:00.000Z
Arizona State,Pac-12,2017,Arizona State vs San Diego State,Arizona State,San Diego State,20,30,2017-09-10T03:00:00.000Z
UTEP,Conference USA,2017,UTEP vs Arizona,UTEP,Arizona,16,63,2017-09-16T02:15:00.000Z
Memphis,American Athletic,2017,Memphis vs UCLA,Memphis,UCLA,48,45,2017-09-16T16:00:00.000Z
Texas A&M,SEC,2017,Texas A&M vs Louisiana,Texas A&M,Louisiana,45,21,2017-09-16T16:00:00.000Z
Colorado,Pac-12,2017,Colorado vs Northern Colorado,Colorado,Northern Colorado,41,21,2017-09-16T18:00:00.000Z
Florida,SEC,2017,Florida vs Tennessee,Florida,Tennessee,26,20,2017-09-16T19:30:00.000Z
Missouri,SEC,2017,Missouri vs Purdue,Missouri,Purdue,3,35,2017-09-16T20:00:00.000Z
Auburn,SEC,2017,Auburn vs Mercer,Auburn,Mercer,24,10,2017-09-16T20:00:00.000Z
Washington State,Pac-12,2017,Washington State vs Oregon State,Washington State,Oregon State,52,23,2017-09-16T21:30:00.000Z
Alabama,SEC,2017,Alabama vs Colorado State,Alabama,Colorado State,41,23,2017-09-16T23:00:00.000Z
Wyoming,Mountain West,2017,Wyoming vs Oregon,Wyoming,Oregon,13,49,2017-09-16T23:00:00.000Z
Mississippi State,SEC,2017,Mississippi State vs LSU,Mississippi State,LSU,37,7,2017-09-16T23:00:00.000Z
South Carolina,SEC,2017,South Carolina vs Kentucky,South Carolina,Kentucky,13,23,2017-09-16T23:30:00.000Z
Vanderbilt,SEC,2017,Vanderbilt vs Kansas State,Vanderbilt,Kansas State,14,7,2017-09-16T23:30:00.000Z
Georgia,SEC,2017,Georgia vs Samford,Georgia,Samford,42,14,2017-09-16T23:30:00.000Z
Texas Tech,Big 12,2017,Texas Tech vs Arizona State,Texas Tech,Arizona State,52,45,2017-09-17T00:00:00.000Z
USC,Pac-12,2017,USC vs Texas,USC,Texas,27,24,2017-09-17T00:30:00.000Z
Washington,Pac-12,2017,Washington vs Fresno State,Washington,Fresno State,48,16,2017-09-17T01:30:00.000Z
Utah,Pac-12,2017,Utah vs San José State,Utah,San José State,54,16,2017-09-17T02:00:00.000Z
San Diego State,Mountain West,2017,San Diego State vs Stanford,San Diego State,Stanford,20,17,2017-09-17T02:30:00.000Z
California,Pac-12,2017,California vs Ole Miss,California,Ole Miss,27,16,2017-09-17T02:30:00.000Z
Arizona,Pac-12,2017,Arizona vs Utah,Arizona,Utah,24,30,2017-09-23T02:30:00.000Z
Tennessee,SEC,2017,Tennessee vs Massachusetts,Tennessee,Massachusetts,17,13,2017-09-23T16:00:00.000Z
Arkansas,SEC,2017,Arkansas vs Texas A&M,Arkansas,Texas A&M,43,50,2017-09-23T16:00:00.000Z
California,Pac-12,2017,California vs USC,California,USC,20,30,2017-09-23T19:30:00.000Z
Vanderbilt,SEC,2017,Vanderbilt vs Alabama,Vanderbilt,Alabama,0,59,2017-09-23T19:30:00.000Z
South Carolina,SEC,2017,South Carolina vs Louisiana Tech,South Carolina,Louisiana Tech,17,16,2017-09-23T19:30:00.000Z
Washington State,Pac-12,2017,Washington State vs Nevada,Washington State,Nevada,45,7,2017-09-23T22:00:00.000Z
Georgia,SEC,2017,Georgia vs Mississippi State,Georgia,Mississippi State,31,3,2017-09-23T23:00:00.000Z
LSU,SEC,2017,LSU vs Syracuse,LSU,Syracuse,35,26,2017-09-23T23:00:00.000Z
Missouri,SEC,2017,Missouri vs Auburn,Missouri,Auburn,14,51,2017-09-23T23:30:00.000Z
Kentucky,SEC,2017,Kentucky vs Florida,Kentucky,Florida,27,28,2017-09-23T23:30:00.000Z
Colorado,Pac-12,2017,Colorado vs Washington,Colorado,Washington,10,37,2017-09-24T02:00:00.000Z
Arizona State,Pac-12,2017,Arizona State vs Oregon,Arizona State,Oregon,37,35,2017-09-24T02:00:00.000Z
Stanford,Pac-12,2017,Stanford vs UCLA,Stanford,UCLA,58,34,2017-09-24T02:30:00.000Z
Washington State,Pac-12,2017,Washington State vs USC,Washington State,USC,30,27,2017-09-30T02:30:00.000Z
Arkansas,SEC,2017,Arkansas vs New Mexico State,Arkansas,New Mexico State,42,24,2017-09-30T16:00:00.000Z
Florida,SEC,2017,Florida vs Vanderbilt,Florida,Vanderbilt,38,24,2017-09-30T16:00:00.000Z
Tennessee,SEC,2017,Tennessee vs Georgia,Tennessee,Georgia,0,41,2017-09-30T19:30:00.000Z
Stanford,Pac-12,2017,Stanford vs Arizona State,Stanford,Arizona State,34,24,2017-09-30T20:00:00.000Z
Kentucky,SEC,2017,Kentucky vs Eastern Michigan,Kentucky,Eastern Michigan,24,20,2017-09-30T20:00:00.000Z
Auburn,SEC,2017,Auburn vs Mississippi State,Auburn,Mississippi State,49,10,2017-09-30T22:00:00.000Z
LSU,SEC,2017,LSU vs Troy,LSU,Troy,21,24,2017-09-30T23:00:00.000Z
Texas A&M,SEC,2017,Texas A&M vs South Carolina,Texas A&M,South Carolina,24,17,2017-09-30T23:30:00.000Z
Oregon State,Pac-12,2017,Oregon State vs Washington,Oregon State,Washington,7,42,2017-10-01T00:00:00.000Z
Alabama,SEC,2017,Alabama vs Ole Miss,Alabama,Ole Miss,66,3,2017-10-01T01:00:00.000Z
UCLA,Pac-12,2017,UCLA vs Colorado,UCLA,Colorado,27,23,2017-10-01T02:30:00.000Z
Oregon,Pac-12,2017,Oregon vs California,Oregon,California,45,24,2017-10-01T02:30:00.000Z
Vanderbilt,SEC,2017,Vanderbilt vs Georgia,Vanderbilt,Georgia,14,45,2017-10-07T16:00:00.000Z
Auburn,SEC,2017,Auburn vs Ole Miss,Auburn,Ole Miss,44,23,2017-10-07T16:00:00.000Z
Florida,SEC,2017,Florida vs LSU,Florida,LSU,16,17,2017-10-07T19:30:00.000Z
USC,Pac-12,2017,USC vs Oregon State,USC,Oregon State,38,10,2017-10-07T20:00:00.000Z
South Carolina,SEC,2017,South Carolina vs Arkansas,South Carolina,Arkansas,48,22,2017-10-07T20:00:00.000Z
Texas A&M,SEC,2017,Texas A&M vs Alabama,Texas A&M,Alabama,19,27,2017-10-07T23:15:00.000Z
Kentucky,SEC,2017,Kentucky vs Missouri,Kentucky,Missouri,40,34,2017-10-07T23:30:00.000Z
Oregon,Pac-12,2017,Oregon vs Washington State,Oregon,Washington State,10,33,2017-10-08T00:00:00.000Z
Colorado,Pac-12,2017,Colorado vs Arizona,Colorado,Arizona,42,45,2017-10-08T00:00:00.000Z
Utah,Pac-12,2017,Utah vs Stanford,Utah,Stanford,20,23,2017-10-08T02:15:00.000Z
Washington,Pac-12,2017,Washington vs California,Washington,California,38,7,2017-10-08T02:45:00.000Z
California,Pac-12,2017,California vs Washington State,California,Washington State,37,3,2017-10-14T02:30:00.000Z
Tennessee,SEC,2017,Tennessee vs South Carolina,Tennessee,South Carolina,9,15,2017-10-14T16:00:00.000Z
Mississippi State,SEC,2017,Mississippi State vs BYU,Mississippi State,BYU,35,10,2017-10-14T16:00:00.000Z
LSU,SEC,2017,LSU vs Auburn,LSU,Auburn,27,23,2017-10-14T19:30:00.000Z
Ole Miss,SEC,2017,Ole Miss vs Vanderbilt,Ole Miss,Vanderbilt,57,35,2017-10-14T19:30:00.000Z
Oregon State,Pac-12,2017,Oregon State vs Colorado,Oregon State,Colorado,33,36,2017-10-14T20:00:00.000Z
Florida,SEC,2017,Florida vs Texas A&M,Florida,Texas A&M,17,19,2017-10-14T23:00:00.000Z
Alabama,SEC,2017,Alabama vs Arkansas,Alabama,Arkansas,41,9,2017-10-14T23:15:00.000Z
Georgia,SEC,2017,Georgia vs Missouri,Georgia,Missouri,53,28,2017-10-14T23:30:00.000Z
USC,Pac-12,2017,USC vs Utah,USC,Utah,28,27,2017-10-15T00:00:00.000Z
Arizona,Pac-12,2017,Arizona vs UCLA,Arizona,UCLA,47,30,2017-10-15T01:00:00.000Z
Arizona State,Pac-12,2017,Arizona State vs Washington,Arizona State,Washington,13,7,2017-10-15T02:45:00.000Z
Stanford,Pac-12,2017,Stanford vs Oregon,Stanford,Oregon,49,7,2017-10-15T03:00:00.000Z
Missouri,SEC,2017,Missouri vs Idaho,Missouri,Idaho,68,21,2017-10-21T16:00:00.000Z
Alabama,SEC,2017,Alabama vs Tennessee,Alabama,Tennessee,45,7,2017-10-21T19:30:00.000Z
Utah,Pac-12,2017,Utah vs Arizona State,Utah,Arizona State,10,30,2017-10-21T19:30:00.000Z
UCLA,Pac-12,2017,UCLA vs Oregon,UCLA,Oregon,31,14,2017-10-21T20:00:00.000Z
Mississippi State,SEC,2017,Mississippi State vs Kentucky,Mississippi State,Kentucky,45,7,2017-10-21T20:00:00.000Z
Ole Miss,SEC,2017,Ole Miss vs LSU,Ole Miss,LSU,24,40,2017-10-21T23:15:00.000Z
Arkansas,SEC,2017,Arkansas vs Auburn,Arkansas,Auburn,20,52,2017-10-21T23:30:00.000Z
Notre Dame,FBS Independents,2017,Notre Dame vs USC,Notre Dame,USC,49,14,2017-10-21T23:30:00.000Z
California,Pac-12,2017,California vs Arizona,California,Arizona,44,45,2017-10-22T00:00:00.000Z
Washington State,Pac-12,2017,Washington State vs Colorado,Washington State,Colorado,28,0,2017-10-22T02:45:00.000Z
Oregon State,Pac-12,2017,Oregon State vs Stanford,Oregon State,Stanford,14,15,2017-10-27T01:00:00.000Z
Ole Miss,SEC,2017,Ole Miss vs Arkansas,Ole Miss,Arkansas,37,38,2017-10-28T16:00:00.000Z
Colorado,Pac-12,2017,Colorado vs California,Colorado,California,44,28,2017-10-28T18:00:00.000Z
Florida,SEC,2017,Florida vs Georgia,Florida,Georgia,7,42,2017-10-28T19:30:00.000Z
Washington,Pac-12,2017,Washington vs UCLA,Washington,UCLA,44,23,2017-10-28T19:30:00.000Z
South Carolina,SEC,2017,South Carolina vs Vanderbilt,South Carolina,Vanderbilt,34,27,2017-10-28T20:00:00.000Z
Oregon,Pac-12,2017,Oregon vs Utah,Oregon,Utah,41,20,2017-10-28T21:45:00.000Z
UConn,American Athletic,2017,UConn vs Missouri,UConn,Missouri,12,52,2017-10-28T22:30:00.000Z
Texas A&M,SEC,2017,Texas A&M vs Mississippi State,Texas A&M,Mississippi State,14,35,2017-10-28T23:15:00.000Z
Kentucky,SEC,2017,Kentucky vs Tennessee,Kentucky,Tennessee,29,26,2017-10-28T23:30:00.000Z
Arizona,Pac-12,2017,Arizona vs Washington State,Arizona,Washington State,58,37,2017-10-29T01:30:00.000Z
Arizona State,Pac-12,2017,Arizona State vs USC,Arizona State,USC,17,48,2017-10-29T02:45:00.000Z
Utah,Pac-12,2017,Utah vs UCLA,Utah,UCLA,48,17,2017-11-04T01:30:00.000Z
Missouri,SEC,2017,Missouri vs Florida,Missouri,Florida,45,16,2017-11-04T16:00:00.000Z
Vanderbilt,SEC,2017,Vanderbilt vs Western Kentucky,Vanderbilt,Western Kentucky,31,17,2017-11-04T16:00:00.000Z
Texas A&M,SEC,2017,Texas A&M vs Auburn,Texas A&M,Auburn,27,42,2017-11-04T16:00:00.000Z
Mississippi State,SEC,2017,Mississippi State vs Massachusetts,Mississippi State,Massachusetts,34,23,2017-11-04T16:00:00.000Z
Georgia,SEC,2017,Georgia vs South Carolina,Georgia,South Carolina,24,10,2017-11-04T19:30:00.000Z
Washington State,Pac-12,2017,Washington State vs Stanford,Washington State,Stanford,24,21,2017-11-04T19:30:00.000Z
Kentucky,SEC,2017,Kentucky vs Ole Miss,Kentucky,Ole Miss,34,37,2017-11-04T20:00:00.000Z
Arkansas,SEC,2017,Arkansas vs Coastal Carolina,Arkansas,Coastal Carolina,39,38,2017-11-04T20:00:00.000Z
California,Pac-12,2017,California vs Oregon State,California,Oregon State,37,23,2017-11-04T21:00:00.000Z
Tennessee,SEC,2017,Tennessee vs Southern Miss,Tennessee,Southern Miss,24,10,2017-11-04T23:30:00.000Z
Alabama,SEC,2017,Alabama vs LSU,Alabama,LSU,24,10,2017-11-05T00:00:00.000Z
Arizona State,Pac-12,2017,Arizona State vs Colorado,Arizona State,Colorado,41,30,2017-11-05T01:00:00.000Z
Washington,Pac-12,2017,Washington vs Oregon,Washington,Oregon,38,3,2017-11-05T02:00:00.000Z
USC,Pac-12,2017,USC vs Arizona,USC,Arizona,49,35,2017-11-05T02:45:00.000Z
Stanford,Pac-12,2017,Stanford vs Washington,Stanford,Washington,30,22,2017-11-11T03:30:00.000Z
Ole Miss,SEC,2017,Ole Miss vs Louisiana,Ole Miss,Louisiana,50,22,2017-11-11T17:00:00.000Z
South Carolina,SEC,2017,South Carolina vs Florida,South Carolina,Florida,28,20,2017-11-11T17:00:00.000Z
LSU,SEC,2017,LSU vs Arkansas,LSU,Arkansas,33,10,2017-11-11T17:00:00.000Z
Auburn,SEC,2017,Auburn vs Georgia,Auburn,Georgia,40,17,2017-11-11T20:30:00.000Z
Vanderbilt,SEC,2017,Vanderbilt vs Kentucky,Vanderbilt,Kentucky,21,44,2017-11-11T21:00:00.000Z
Colorado,Pac-12,2017,Colorado vs USC,Colorado,USC,24,38,2017-11-11T21:00:00.000Z
