Team,Conf,Season,Game,Home,Away,Points,Points Against,Date
Vanderbilt,SEC,2001,Vanderbilt vs Auburn,Vanderbilt,Auburn,21,24,2001-09-29T23:00:00.000Z
Tennessee,SEC,2001,Tennessee vs LSU,Tennessee,LSU,26,18,2001-09-29T23:45:00.000Z
Tennessee,SEC,2001,Tennessee vs Georgia,Tennessee,Georgia,24,26,2001-10-06T16:00:00.000Z
South Carolina,SEC,2001,South Carolina vs Kentucky,South Carolina,Kentucky,42,6,2001-10-06T17:00:00.000Z
Alabama,SEC,2001,Alabama vs UTEP,Alabama,UTEP,56,7,2001-10-06T19:00:00.000Z
LSU,SEC,2001,LSU vs Florida,LSU,Florida,15,44,2001-10-06T19:30:00.000Z
Auburn,SEC,2001,Auburn vs Mississippi State,Auburn,Mississippi State,16,14,2001-10-06T23:00:00.000Z
Arkansas,SEC,2001,Arkansas vs Weber State,Arkansas,Weber State,42,19,2001-10-06T23:00:00.000Z
Arkansas State,Sun Belt,2001,Arkansas State vs Ole Miss,Arkansas State,Ole Miss,17,35,2001-10-06T23:00:00.000Z
Ole Miss,SEC,2001,Ole Miss vs Alabama,Ole Miss,Alabama,27,24,2001-10-13T16:30:00.000Z
Vanderbilt,SEC,2001,Vanderbilt vs Georgia,Vanderbilt,Georgia,14,30,2001-10-13T18:00:00.000Z
Mississippi State,SEC,2001,Mississippi State vs Troy,Mississippi State,Troy,9,21,2001-10-13T18:30:00.000Z
Arkansas,SEC,2001,Arkansas vs South Carolina,Arkansas,South Carolina,10,7,2001-10-13T19:30:00.000Z
Kentucky,SEC,2001,Kentucky vs LSU,Kentucky,LSU,25,29,2001-10-13T23:00:00.000Z
Auburn,SEC,2001,Auburn vs Florida,Auburn,Florida,23,20,2001-10-13T23:45:00.000Z
Alabama,SEC,2001,Alabama vs Tennessee,Alabama,Tennessee,24,35,2001-10-20T04:00:00.000Z
Mississippi State,SEC,2001,Mississippi State vs LSU,Mississippi State,LSU,0,42,2001-10-20T04:00:00.000Z
Georgia,SEC,2001,Georgia vs Kentucky,Georgia,Kentucky,43,29,2001-10-20T04:00:00.000Z
Auburn,SEC,2001,Auburn vs Louisiana Tech,Auburn,Louisiana Tech,48,41,2001-10-20T04:00:00.000Z
South Carolina,SEC,2001,South Carolina vs Vanderbilt,South Carolina,Vanderbilt,46,14,2001-10-20T04:00:00.000Z
Ole Miss,SEC,2001,Ole Miss vs Middle Tennessee,Ole Miss,Middle Tennessee,45,17,2001-10-20T04:00:00.000Z
Arkansas,SEC,2001,Arkansas vs Auburn,Arkansas,Auburn,42,17,2001-10-27T16:30:00.000Z
Duke,ACC,2001,Duke vs Vanderbilt,Duke,Vanderbilt,28,42,2001-10-27T17:00:00.000Z
Florida,SEC,2001,Florida vs Georgia,Florida,Georgia,24,10,2001-10-27T19:30:00.000Z
Tennessee,SEC,2001,Tennessee vs South Carolina,Tennessee,South Carolina,17,10,2001-10-27T22:00:00.000Z
LSU,SEC,2001,LSU vs Ole Miss,LSU,Ole Miss,24,35,2001-10-28T01:00:00.000Z
Florida,SEC,2001,Florida vs Vanderbilt,Florida,Vanderbilt,71,13,2001-11-03T18:30:00.000Z
South Carolina,SEC,2001,South Carolina vs Wofford,South Carolina,Wofford,38,14,2001-11-03T19:00:00.000Z
Notre Dame,FBS Independents,2001,Notre Dame vs Tennessee,Notre Dame,Tennessee,18,28,2001-11-03T20:30:00.000Z
Mississippi State,SEC,2001,Mississippi State vs Kentucky,Mississippi State,Kentucky,17,14,2001-11-03T20:30:00.000Z
Alabama,SEC,2001,Alabama vs LSU,Alabama,LSU,21,35,2001-11-03T21:30:00.000Z
Ole Miss,SEC,2001,Ole Miss vs Arkansas,Ole Miss,Arkansas,56,58,2001-11-04T01:00:00.000Z
Alabama,SEC,2001,Alabama vs Mississippi State,Alabama,Mississippi State,24,17,2001-11-10T17:30:00.000Z
Arkansas,SEC,2001,Arkansas vs UCF,Arkansas,UCF,27,20,2001-11-10T19:00:00.000Z
Tennessee,SEC,2001,Tennessee vs Memphis,Tennessee,Memphis,49,28,2001-11-10T19:00:00.000Z
Vanderbilt,SEC,2001,Vanderbilt vs Kentucky,Vanderbilt,Kentucky,30,56,2001-11-10T19:00:00.000Z
Georgia,SEC,2001,Georgia vs Auburn,Georgia,Auburn,17,24,2001-11-10T20:30:00.000Z
South Carolina,SEC,2001,South Carolina vs Florida,South Carolina,Florida,17,54,2001-11-11T00:45:00.000Z
LSU,SEC,2001,LSU vs Middle Tennessee,LSU,Middle Tennessee,30,14,2001-11-11T01:00:00.000Z
Ole Miss,SEC,2001,Ole Miss vs Georgia,Ole Miss,Georgia,15,35,2001-11-17T17:30:00.000Z
Kentucky,SEC,2001,Kentucky vs Tennessee,Kentucky,Tennessee,35,38,2001-11-17T17:30:00.000Z
South Carolina,SEC,2001,South Carolina vs Clemson,South Carolina,Clemson,20,15,2001-11-17T18:00:00.000Z
Arkansas,SEC,2001,Arkansas vs Mississippi State,Arkansas,Mississippi State,24,21,2001-11-17T19:00:00.000Z
Auburn,SEC,2001,Auburn vs Alabama,Auburn,Alabama,7,31,2001-11-17T20:30:00.000Z
Florida,SEC,2001,Florida vs Florida State,Florida,Florida State,37,13,2001-11-18T01:00:00.000Z
Mississippi State,SEC,2001,Mississippi State vs Ole Miss,Mississippi State,Ole Miss,36,28,2001-11-23T00:30:00.000Z
LSU,SEC,2001,LSU vs Arkansas,LSU,Arkansas,41,38,2001-11-23T19:30:00.000Z
Tennessee,SEC,2001,Tennessee vs Vanderbilt,Tennessee,Vanderbilt,38,0,2001-11-24T20:30:00.000Z
Georgia Tech,ACC,2001,Georgia Tech vs Georgia,Georgia Tech,Georgia,17,31,2001-11-25T00:45:00.000Z
Alabama,SEC,2001,Alabama vs Southern Miss,Alabama,Southern Miss,28,15,2001-11-30T00:00:00.000Z
Georgia,SEC,2001,Georgia vs Houston,Georgia,Houston,35,7,2001-12-01T17:00:00.000Z
Ole Miss,SEC,2001,Ole Miss vs Vanderbilt,Ole Miss,Vanderbilt,38,27,2001-12-01T17:30:00.000Z
Indiana,Big Ten,2001,Indiana vs Kentucky,Indiana,Kentucky,26,15,2001-12-01T18:00:00.000Z
Florida,SEC,2001,Florida vs Tennessee,Florida,Tennessee,32,34,2001-12-01T21:30:00.000Z
LSU,SEC,2001,LSU vs Auburn,LSU,Auburn,27,14,2001-12-02T00:45:00.000Z
Mississippi State,SEC,2001,Mississippi State vs BYU,Mississippi State,BYU,38,41,2001-12-02T01:00:00.000Z
